Data;Descrição;Tipo;Valor;;;;;Data;Descrição;Fornecedor;Valor
30/12/2020;Pago Fatura Celpe 06/2019 - Terreno das Graças;NEOENERGIA;94,93;;Fornecedores;Pendente;;;;;
30/12/2020;Pago Fatura Celpe 07/2019 - Terreno das Graças;NEOENERGIA;96,76;;ARMAZÉM TRÊS T; R$ 9.374,00 ;;;;;
30/12/2020;Pago Fatura Celpe 08/2019 - Terreno das Graças;NEOENERGIA;99,34;;DEMAC DISTRIBUIDORA; R$ 25.595,00 ;;;;;
30/12/2020;Pago Fatura Celpe 09/2019 - Terreno das Graças;NEOENERGIA;103,44;;GERDAU; R$ 128.569,48 ;;;;;
30/12/2020;Pago Fatura Celpe 10/2019 - Terreno das Graças;NEOENERGIA;105,22;;MADCON DISTRIBUIDORA; R$ 6.215,00 ;;;;;
30/12/2020;Pago Fatura Celpe 11/2019 - Terreno das Graças;NEOENERGIA;101,04;;MADEIREIRA CUNHA; R$ 29.378,40 ;;;;;
30/12/2020;Pago Fatura Celpe 12/2019 - Terreno das Graças;NEOENERGIA;98,56;;SEGNORTE; R$ 2.735,00 ;;;;;
30/12/2020;Pago Fatura Celpe 01/2020 - Terreno das Graças;NEOENERGIA;99,53;;SUPERMIX CONCRETO; R$ 70.961,00 ;;;;;
30/12/2020;Pago Fatura Celpe 02/2020 - Terreno das Graças;NEOENERGIA;98,79;;Total Geral; R$ 272.827,88 ;;;;;
30/12/2020;Pago Fatura Celpe 03/2020 - Terreno das Graças;NEOENERGIA;97,86;;;;;;;;
30/12/2020;Pago Fatura Celpe 04/2020 - Terreno das Graças;NEOENERGIA;99,45;;;;;;;;
30/12/2020;Pago Fatura Celpe 05/2020 - Terreno das Graças;NEOENERGIA;0,61;;;;;;;;
30/12/2020;Pago Fatura Celpe 06/2020 - Terreno das Graças;NEOENERGIA;0,63;;;;;;;;
30/12/2020;4493 - Pago contrato aluguel demolição terreno gra;TERRENO;12000;;;;;;;;
30/12/2020;Recibo de Laudêmio 0862 - Terreno das Graças;TERRENO;8006,52;;;;;;;;
30/12/2020;4411 - Adto Serviços Legalização Cartório;TERRENO;5887,01;;;;;;;;
30/12/2020;4411 - Adto Serviços Legalização Cartório;TERRENO;8207;;;;;;;;
23/04/2021;Fatura 065020 - Locape Andaime tubular,Diagonal;CONSTRUÇÃO MATERIAL;360;;;;;;;;
23/04/2021;NFS-e 79 - Marcelo Elias - Remoção Entulho - Graça;CONSTRUÇÃO MÃO DE OBRA;500;;;;;;;;
11/05/2021;Recibo AJR Tratores - Demolição Casa das Graças ;TERRENO;18000;;;;;;;;
11/05/2021;Pago Fatura 14192622 - Conselho de Arquitetura;TERRENO;97,95;;;;;;;;
31/05/2021;Recibo S/N - EEM Vidigal Serviços - Tax. da Lavrat;CONSTRUÇÃO MÃO DE OBRA;6540,51;;;;;;;;
01/06/2021;Prefeitura do Recife - Aprovação  Projeto das Graç;TERRENO;1461,76;;;;;;;;
30/07/2021;NFS-e 198 - Ajr Tratores Locações e Servições - IA;CONSTRUÇÃO MÃO DE OBRA;9000;;;;;;;;
31/08/2021;NF-e 290 - R Rayane - Demolição Graças ;CONSTRUÇÃO MATERIAL;1050;;;;;;;;
31/08/2021;NF-e 291 - R Rayane - Demolição Graças ;CONSTRUÇÃO MATERIAL;996,96;;;;;;;;
31/08/2021;NF-e 292 - R Rayane - Demolição Graças ;CONSTRUÇÃO MATERIAL;2453;;;;;;;;
30/09/2021;NF-e 0189 AJR Tratores - Locação Escavadeira;CONSTRUÇÃO MATERIAL;21000;;;;;;;;
30/11/2021;Boleto Prefeitura Recife - Alvará Construção IASD ;TERRENO;597,45;;;;;;;;
30/11/2021;Boleto Prefeitura Recife - Licença Ambiental das G;TERRENO;789,37;;;;;;;;
30/11/2021;Boleto 884-4 CREA-PE - ART de Execução das Graças ;TERRENO;233,94;;;;;;;;
30/12/2021;Boleto Cau-Pe - Remembramento Terreno das Graças ;TERRENO;97,95;;;;;;;;
30/12/2021;NF-e 200815 - Armazém Coral -  Material P/ Terreno;CONSTRUÇÃO MATERIAL;437,38;;;;;;;;
30/12/2021;NF-e 283351 - Acomais Ltda -  Material P/ Terreno ;CONSTRUÇÃO MATERIAL;3597;;;;;;;;
30/12/2021;NF-e 20993 - Armazem Machado - Material P/ Terreno;CONSTRUÇÃO MATERIAL;90;;;;;;;;
30/12/2021;NFC-e 269233 - Cemopel - Terreno Graças - Alimenta;CONSTRUÇÃO MATERIAL;51,93;;;;;;;;
30/12/2021;NFC-e 54304 - Polo Parafusos - Conser. Casa Vizinh;CONSTRUÇÃO MATERIAL;39,3;;;;;;;;
30/12/2021;NFC-e 21218 - Armazem Machado - Conser. Casa Vizin;CONSTRUÇÃO MATERIAL;85;;;;;;;;
30/12/2021;NFC-e 20535 - Armazem Machado - Terreno Graças ;CONSTRUÇÃO MATERIAL;183,8;;;;;;;;
30/12/2021;NFC-e 20677 - Armazem Machado - Conser. Casa Vizin;CONSTRUÇÃO MATERIAL;135;;;;;;;;
30/12/2021;NF-e 2245 - Madeireira Cunea Ltda - Terreno Graças;CONSTRUÇÃO MATERIAL;488,07;;;;;;;;
